"# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 03.07.2014 по 31.10.2014, все дни",Column,Column2,Column3
# Кодировка: ANSI,,,
"# Данные предоставлены WEB-сайтом ""Расписание Погоды"", rp5.ru ",,,
"# Пожалуйста, при использовании данных, любезно указывайте названный сайт.",,,
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru,,,
#,,,
Местное время в Санкт-Петербурге,T,Скорость ветра,WW
31.10.2014 21:00,3.0,2,Снег непрерывный слабый в срок наблюдения. 
31.10.2014 18:00,2.7,2, 
31.10.2014 15:00,5.2,2, 
31.10.2014 12:00,5.3,3, 
31.10.2014 9:00,5.1,2, 
31.10.2014 6:00,4.8,2, 
31.10.2014 3:00,4.6,2, 
31.10.2014 0:00,5.6,3, 
30.10.2014 21:00,6.0,3, 
30.10.2014 18:00,6.0,1, 
30.10.2014 15:00,8.8,2, 
30.10.2014 12:00,7.0,2, 
30.10.2014 9:00,6.6,1, 
30.10.2014 6:00,6.6,2, 
30.10.2014 3:00,9.0,3, 
30.10.2014 0:00,9.7,5, 
29.10.2014 21:00,10.0,5, 
29.10.2014 18:00,11.8,6, 
29.10.2014 15:00,13.6,5, 
29.10.2014 12:00,11.7,3, 
29.10.2014 9:00,8.6,2, 
29.10.2014 6:00,9.0,4, 
29.10.2014 3:00,10.1,4, 
29.10.2014 0:00,10.1,4, 
28.10.2014 21:00,11.2,5,Состояние неба в общем не изменилось. 
28.10.2014 18:00,10.9,4,Дождь незамерзающий непрерывный слабый в срок наблюдения. 
28.10.2014 15:00,10.7,5,Дождь незамерзающий непрерывный слабый в срок наблюдения. 
28.10.2014 12:00,10.4,5,Дождь незамерзающий непрерывный слабый в срок наблюдения. 
28.10.2014 9:00,10.0,3,Морось незамерзающая непрерывная слабая в срок наблюдения. 
28.10.2014 6:00,9.9,4,Морось незамерзающая непрерывная слабая в срок наблюдения. 
28.10.2014 3:00,10.1,3,Морось незамерзающая непрерывная слабая в срок наблюдения. 
28.10.2014 0:00,9.5,3,Морось незамерзающая непрерывная слабая в срок наблюдения. 
27.10.2014 21:00,8.6,3,Морось незамерзающая непрерывная слабая в срок наблюдения. 
27.10.2014 18:00,8.8,5,Состояние неба в общем не изменилось. 
27.10.2014 15:00,7.3,6,Дождь незамерзающий непрерывный слабый в срок наблюдения. 
27.10.2014 12:00,7.0,3, 
27.10.2014 9:00,5.3,3, 
27.10.2014 6:00,4.0,4, 
27.10.2014 3:00,3.6,3,Состояние неба в общем не изменилось. 
27.10.2014 0:00,3.2,2,Состояние неба в общем не изменилось. 
26.10.2014 21:00,2.3,4,Морось незамерзающая с перерывами слабая в срок наблюдения. 
26.10.2014 18:00,2.3,2, 
26.10.2014 15:00,1.8,3, 
26.10.2014 12:00,1.0,3, 
26.10.2014 9:00,0.2,4, 
26.10.2014 6:00,0.6,3, 
26.10.2014 3:00,0.5,3, 
26.10.2014 0:00,1.1,3, 
25.10.2014 21:00,1.6,3, 
25.10.2014 18:00,2.1,4, 
25.10.2014 15:00,2.2,2, 
25.10.2014 12:00,0.4,3, 
25.10.2014 9:00,-1.7,2, 
25.10.2014 6:00,-1.0,2, 
25.10.2014 3:00,-0.6,3, 
25.10.2014 0:00,0.0,3, 
24.10.2014 21:00,0.2,1, 
24.10.2014 18:00,0.3,1, 
24.10.2014 15:00,1.5,2, 
24.10.2014 12:00,0.6,2, 
24.10.2014 9:00,-2.8,1, 
24.10.2014 6:00,-3.9,0, 
24.10.2014 3:00,-1.9,1, 
24.10.2014 0:00,-0.3,1, 
23.10.2014 21:00,-0.5,1, 
23.10.2014 18:00,-0.2,2, 
23.10.2014 15:00,-0.2,2,Состояние неба в общем не изменилось. 
23.10.2014 12:00,-1.4,1,Состояние неба в общем не изменилось. 
23.10.2014 9:00,-5.0,1,Снег непрерывный слабый в срок наблюдения. 
23.10.2014 6:00,-5.0,1,Снег непрерывный слабый в срок наблюдения. 
23.10.2014 3:00,-3.4,1,Снег непрерывный слабый в срок наблюдения. 
23.10.2014 0:00,-3.4,1,Снег непрерывный слабый в срок наблюдения. 
22.10.2014 21:00,-3.8,2,Снег непрерывный слабый в срок наблюдения. 
22.10.2014 18:00,-4.1,3,Снег непрерывный слабый в срок наблюдения. 
22.10.2014 15:00,-2.6,2,Состояние неба в общем не изменилось. 
22.10.2014 12:00,-2.1,2,Снег непрерывный слабый в срок наблюдения. 
22.10.2014 9:00,-2.5,1,Снег непрерывный слабый в срок наблюдения. 
22.10.2014 6:00,-1.8,1, 
22.10.2014 3:00,-2.0,1,Состояние неба в общем не изменилось. 
22.10.2014 0:00,-0.3,1,Снег непрерывный слабый в срок наблюдения. 
21.10.2014 21:00,0.3,2,Снег непрерывный слабый в срок наблюдения. 
21.10.2014 18:00,0.7,1,Состояние неба в общем не изменилось. 
21.10.2014 15:00,0.4,2,Снег непрерывный слабый в срок наблюдения. 
21.10.2014 12:00,0.6,3,Состояние неба в общем не изменилось. 
21.10.2014 9:00,1.2,2,Снег непрерывный умеренный в срок наблюдения. 
21.10.2014 6:00,1.7,2, 
