Местоположения 1,Местоположения 2,самая частая трасса
"19. ст. метро «Крестовский остров» (Морской просп., 45) "," 19. ст. метро «Крестовский остров» (Морской просп., 45)",1055.0
24. ст. метро «Горьковская» , 24. ст. метро «Горьковская»,502.0
23. ст. метро «Василеостровская» , 23. ст. метро «Василеостровская»,452.0
"29. Кораблестроителей ул., Park Inn "," 29. Кораблестроителей ул., Park Inn",431.0
"09. Невский просп., 35 "," 09. Невский просп., 35",422.0
"06. Малая Морская ул., 4/1 лит.А "," 06. Малая Морская ул., 4/1 лит.А",373.0
"07. Марсово поле, 3 "," 07. Марсово поле, 3",338.0
"28. Чернышевского просп, 20 "," 28. Чернышевского просп, 20",336.0
16. ст. метро «Петроградская» (Площадь Льва Толстого) , 16. ст. метро «Петроградская» (Площадь Льва Толстого),289.0
"11. Новочеркасский просп., 41/14 "," 11. Новочеркасский просп., 41/14",260.0
27. ст. метро «Чкаловская» , 27. ст. метро «Чкаловская»,258.0
"15. ул. Комсомола, 35 (Площадь Ленина) "," 15. ул. Комсомола, 35 (Площадь Ленина)",256.0
25. ст. метро «Приморская» ," 29. Кораблестроителей ул., Park Inn",239.0
"04. Загородный просп., 74 "," 04. Загородный просп., 74",239.0
25. ст. метро «Приморская» , 25. ст. метро «Приморская»,232.0
"20. Сенная площадь, 5 "," 20. Сенная площадь, 5",229.0
"01. Вознесенский просп., 1 "," 01. Вознесенский просп., 1",225.0
"29. Кораблестроителей ул., Park Inn ", 25. ст. метро «Приморская»,217.0
26. ст. метро «Спортивная» , 26. ст. метро «Спортивная»,211.0
"13. Лиговский просп., 16 (Московский Вокзал) "," 13. Лиговский просп., 16 (Московский Вокзал)",202.0
05. ст. метро «Лиговский проспект» , 05. ст. метро «Лиговский проспект»,190.0
23. ст. метро «Василеостровская» , 26. ст. метро «Спортивная»,184.0
24. ст. метро «Горьковская» ," 07. Марсово поле, 3",182.0
16. ст. метро «Петроградская» (Площадь Льва Толстого) , 24. ст. метро «Горьковская»,177.0
12. Площадь Балтийского вокзала , 12. Площадь Балтийского вокзала,163.0
23. ст. метро «Василеостровская» , 25. ст. метро «Приморская»,162.0
